Classification_Size,Classification_Focus,Research_Intensity,Status,Academic_Reputation_Score,Employer_Reputation_Score,Faculty_Student_Score,Citations_Per_Faculty_Score,International_Faculty_Score,International_Student_Score,Overall_Score
S,FO,LO,B,46.7,42.1,70.4,46.9,37.7,67.1,20.9
M,FO,VH,A,8.4,29.1,23.8,50.6,34.2,18.6,20.9
XL,FC,VH,A,26.5,45.6,26.0,34.9,39.5,17.7,20.9
L,CO,VH,A,14.7,20.5,87.2,41.0,36.1,24.3,20.9
XL,FC,VH,A,20.4,16.7,98.7,35.1,79.1,19.1,20.9
M,CO,VH,A,11.9,25.1,44.0,23.8,49.6,14.8,20.8
L,FC,MD,A,59.5,35.7,67.4,52.3,99.4,14.3,20.8
S,CO,MD,B,5.0,30.4,61.1,21.4,19.1,15.3,20.8
L,FC,HI,B,9.0,39.6,59.7,17.5,56.4,16.3,20.7
L,CO,LO,B,16.3,38.1,59.1,45.0,41.3,47.3,20.7
L,CO,VH,A,22.9,19.8,27.2,22.5,61.4,15.5,20.7
L,FC,VH,A,21.6,34.2,71.6,39.0,70.8,15.2,20.7
L,FC,VH,A,24.7,29.0,24.2,19.9,37.5,21.6,20.7
L,CO,VH,A,30.3,24.2,46.9,32.9,46.9,19.4,20.7
L,CO,VH,A,55.2,45.2,66.4,35.0,6.6,19.0,20.7
L,CO,VH,A,18.0,45.1,82.8,28.1,61.0,30.8,20.6
M,SP,HI,A,24.3,36.0,42.4,43.5,75.5,29.9,20.5
M,FC,VH,B,21.5,35.0,85.3,53.4,17.1,27.7,20.4
L,CO,HI,A,9.5,36.2,68.5,78.9,74.6,96.4,20.4
M,CO,VH,A,20.0,26.9,32.3,37.5,39.7,35.0,20.4
M,CO,VH,A,21.6,28.9,48.3,29.0,86.6,37.3,20.4
L,FC,HI,A,25.9,45.2,23.4,70.7,31.5,29.3,20.4
S,SP,LO,B,54.2,32.0,62.8,31.7,77.6,48.9,20.3
M,CO,MD,B,36.1,12.2,83.1,50.0,62.9,27.3,20.3
M,CO,VH,A,4.5,27.1,27.1,26.4,55.2,84.2,20.3
L,FC,HI,A,14.9,12.7,51.5,34.4,65.0,54.0,20.3
S,FC,VH,A,37.0,45.3,28.7,42.9,65.0,49.0,20.3
XL,FC,HI,A,16.5,45.6,31.5,24.6,18.8,38.1,20.3
M,CO,VH,B,20.4,30.4,89.4,61.6,33.2,39.9,20.3
M,FO,HI,A,55.2,40.2,82.2,35.0,65.1,29.3,20.2
L,FC,HI,A,51.6,12.0,20.7,43.6,71.7,49.5,20.2
M,CO,HI,A,9.0,20.2,28.7,65.5,98.4,94.8,20.1
XL,CO,VH,A,30.4,46.4,33.9,59.4,23.7,56.4,20.1
S,CO,VH,B,29.0,46.6,25.4,55.1,36.6,43.0,20.1
L,FO,VH,A,7.7,8.2,29.0,80.2,23.5,48.8,20.1
M,CO,VH,A,38.3,31.6,23.6,40.7,74.9,19.0,20.0
M,FC,HI,A,38.7,35.9,75.4,74.3,15.3,53.0,20.0
M,FC,HI,A,36.2,20.0,32.4,25.0,56.2,52.1,20.0
L,CO,VH,A,36.0,46.1,55.2,66.6,63.5,57.7,19.9
M,FC,MD,B,47.6,30.7,25.9,45.6,97.1,52.2,19.9
S,SP,HI,A,45.7,31.2,28.8,18.4,100.0,38.9,19.9
L,FO,VH,A,40.2,3.9,64.7,38.8,76.2,14.8,19.9
M,CO,HI,A,19.5,22.0,26.1,65.2,18.3,50.8,19.9
L,FO,HI,A,18.2,18.0,61.9,76.9,31.0,32.1,19.9
M,CO,VH,A,13.5,39.2,61.0,20.2,65.7,51.9,19.9
L,FC,HI,A,10.6,9.8,33.4,19.6,26.3,23.7,19.9
L,CO,HI,B,28.2,18.7,95.1,40.1,20.1,56.1,19.8
M,CO,HI,A,22.3,14.5,31.9,37.9,34.6,22.0,19.7
XL,FC,VH,A,18.2,29.4,23.5,34.7,45.0,11.4,19.7
S,CO,HI,B,54.2,22.6,68.2,61.2,75.2,31.7,19.7
M,FO,VH,A,5.7,21.3,32.9,19.6,35.0,43.4,19.7
M,FO,HI,C,3.2,42.1,24.5,17.3,48.9,63.4,19.7
XL,FC,MD,A,20.8,24.4,31.2,64.5,20.9,48.1,19.7
XL,FC,HI,A,33.4,22.8,73.6,63.0,20.8,39.6,19.6
XL,CO,HI,A,18.5,38.5,47.6,78.8,13.8,19.9,19.6
XL,FC,HI,A,29.9,42.9,90.0,56.5,38.5,40.7,19.6
XL,FC,VH,A,31.3,35.3,92.7,50.9,23.9,46.5,19.5
XL,FC,VH,A,29.6,8.0,64.0,46.3,23.5,46.3,19.4
L,CO,VH,A,56.8,23.4,39.4,34.2,41.8,21.0,19.4
XL,FC,VH,A,16.4,38.4,82.0,42.4,28.9,51.3,19.3
L,FO,VH,A,56.1,19.4,70.4,58.2,22.0,23.8,19.3
XL,FC,HI,A,23.1,28.6,98.7,25.5,50.7,20.1,19.3
M,FO,VH,A,53.5,45.5,35.4,49.7,68.6,44.7,19.2
L,SP,VH,A,49.5,8.6,36.4,43.3,39.3,72.4,19.2
M,CO,VH,A,5.0,15.3,50.9,29.9,57.8,55.1,19.2
L,FC,HI,A,46.9,20.6,33.9,53.7,26.7,69.3,19.1
XL,FC,MD,A,20.3,36.9,53.6,22.5,29.0,36.3,19.1
XL,FC,VH,A,27.1,29.0,43.6,23.6,16.2,37.6,19.1
XL,CO,VH,A,16.7,25.8,99.3,55.4,61.1,12.3,19.1
L,FC,HI,A,37.1,15.5,50.1,27.9,55.0,34.1,19.1
L,CO,HI,A,34.4,22.2,62.8,69.6,77.2,77.4,19.1
M,CO,VH,A,14.2,35.2,36.9,32.5,20.0,10.9,19.0
L,CO,HI,A,20.0,19.5,53.0,20.4,98.6,24.6,18.9
L,CO,HI,A,52.8,5.9,93.8,72.3,87.8,99.9,18.8
L,FC,VH,A,22.9,28.3,51.0,18.8,17.3,30.5,18.8
XL,FO,VH,A,21.8,44.2,46.0,40.0,72.6,15.6,18.7
M,CO,VH,B,6.9,4.2,27.0,35.8,29.7,66.5,18.7
M,FC,VH,B,4.6,44.7,45.8,24.2,43.5,17.1,18.5
M,FC,MD,B,17.7,34.9,31.9,53.2,58.7,32.1,18.5
L,FO,VH,A,45.6,36.6,65.7,74.5,10.2,61.4,18.5
L,CO,VH,A,35.0,28.9,33.6,48.5,33.2,18.0,18.5
M,CO,HI,A,53.5,28.3,65.8,28.2,60.5,97.7,18.5
XL,FC,HI,A,27.6,49.7,82.7,52.6,49.8,19.3,18.4
L,FC,VH,A,16.8,8.9,32.2,32.8,16.1,48.1,18.4
L,FC,VH,A,33.1,11.8,48.2,19.8,52.4,13.3,18.4
M,FO,MD,A,6.7,27.7,63.0,74.4,68.9,52.2,18.3
M,FC,HI,A,55.3,14.5,71.5,20.6,52.6,52.5,18.3
M,FC,LO,A,15.1,12.1,41.8,18.2,98.8,38.3,18.3
XL,CO,VH,A,19.6,41.7,70.8,78.5,57.5,55.7,18.3
M,FO,HI,B,28.8,45.9,95.1,66.2,61.5,43.6,18.2
L,FC,HI,A,17.3,16.8,26.6,41.1,41.0,67.7,18.2
XL,FO,VH,A,17.0,46.7,30.2,68.4,78.1,38.7,18.2
L,CO,HI,A,8.2,29.5,24.0,69.5,42.7,55.7,18.2
M,SP,LO,A,40.5,45.9,59.9,20.5,21.7,46.4,18.2
S,FO,HI,A,28.1,23.4,48.9,21.1,50.1,59.7,18.1
L,FC,VH,A,14.3,26.3,33.7,50.2,70.4,44.4,18.1
L,CO,VH,A,41.3,15.7,51.3,49.2,13.8,42.2,18.1
L,FC,HI,A,52.9,19.5,24.7,24.6,38.5,48.8,17.9
XL,FC,VH,A,19.9,26.9,51.9,26.0,50.7,21.9,17.9
L,CO,VH,A,52.4,18.2,66.0,30.0,19.6,47.4,17.9
L,FC,HI,A,53.8,48.3,65.7,31.5,16.1,24.1,17.8
XL,CO,MD,A,38.5,30.8,55.5,45.9,45.1,59.0,17.8
L,CO,VH,A,50.3,4.2,33.3,36.0,28.9,19.9,17.8
L,CO,HI,B,21.5,25.1,27.8,18.6,19.6,19.5,17.7
M,CO,VH,B,11.3,34.9,45.0,28.2,57.4,39.1,17.7
M,CO,HI,B,35.0,34.0,86.3,36.2,39.1,98.8,17.7
XL,FC,HI,A,16.3,5.3,28.2,20.6,78.5,15.1,17.6
M,CO,VH,A,37.8,43.9,31.4,22.5,61.3,36.0,17.6
L,FC,HI,B,23.3,29.5,88.4,31.9,7.6,39.0,17.6
S,SP,MD,B,32.2,37.1,29.4,20.9,23.4,29.5,17.5
XL,CO,VH,A,28.2,27.9,44.3,71.5,23.8,25.9,17.5
L,FC,HI,A,58.1,5.2,30.8,19.1,64.5,10.1,17.5
L,FC,HI,A,27.1,21.7,33.2,20.9,66.1,60.3,17.4
L,CO,VH,A,15.0,10.7,91.6,43.4,20.5,55.0,17.4
XL,FC,MD,A,17.5,27.4,49.2,48.9,32.3,21.5,17.4
L,FC,HI,A,35.6,37.3,60.6,44.8,34.2,42.2,17.4
M,CO,VH,B,24.9,36.6,49.3,20.5,41.3,45.3,17.4
L,FO,VH,A,9.8,19.5,25.7,31.2,32.3,41.8,17.4
XL,CO,VH,A,34.0,8.8,72.2,38.7,56.6,19.3,17.3
XL,FC,VH,A,26.8,48.1,39.5,52.7,11.6,27.9,17.3
L,CO,VH,A,7.2,35.5,27.0,24.9,25.4,17.6,17.3
M,CO,HI,A,17.0,6.3,43.0,80.1,65.3,56.0,17.3
L,CO,MD,B,37.3,19.4,54.9,26.0,100.0,100.0,17.3
L,CO,HI,A,41.2,19.1,70.0,64.1,75.1,48.9,17.3
M,CO,VH,A,54.0,32.5,40.1,30.6,19.4,57.3,17.3
L,CO,HI,A,35.6,36.7,60.2,31.1,48.4,66.6,17.3
S,FO,HI,C,46.1,36.6,84.2,64.1,100.0,100.0,17.1
XL,FC,HI,A,36.5,35.8,83.2,38.4,23.5,46.8,17.1
S,FO,VH,A,49.9,49.0,24.6,60.1,91.3,66.2,17.1
L,CO,HI,A,16.7,43.0,26.9,42.1,34.3,31.8,17.0
L,CO,HI,A,44.4,20.7,87.4,39.9,81.7,51.8,17.0
L,FC,HI,A,58.6,33.2,36.0,44.6,56.8,54.5,16.9
L,CO,VH,A,52.5,43.1,37.1,30.6,42.1,43.3,16.9
L,FC,HI,B,28.1,7.8,66.6,52.4,35.4,58.7,16.8
L,FO,VH,A,20.8,44.1,78.7,52.4,60.7,16.8,16.8
L,CO,VH,A,15.7,34.2,99.0,28.3,67.3,21.5,16.8
M,FO,VH,A,49.8,35.7,46.8,19.5,18.9,19.8,16.7
XL,CO,VH,A,22.1,45.4,86.3,47.6,21.8,18.3,16.7
S,CO,HI,B,50.6,46.0,65.9,47.9,53.0,25.5,16.7
M,FO,VH,A,20.8,8.8,58.3,18.9,78.7,21.9,16.6
M,CO,VH,A,10.7,46.4,35.0,46.2,47.0,31.4,16.6
L,FO,HI,A,55.3,40.2,57.3,72.9,12.6,41.3,16.6
L,CO,HI,A,59.4,21.8,77.5,33.5,44.1,44.5,16.5
M,FO,VH,A,49.3,38.2,60.4,22.7,20.0,30.9,16.5
L,SP,LO,A,47.5,12.4,43.3,80.2,38.1,39.9,16.5
XL,CO,VH,A,41.0,31.4,55.5,42.4,19.7,16.3,16.5
XL,CO,VH,A,38.4,31.9,50.2,18.6,62.3,15.7,16.5
M,FO,HI,B,5.2,64.6,38.5,60.1,47.0,10.1,16.5
XL,FC,HI,A,27.8,31.1,70.1,16.8,70.6,19.3,16.5
M,FC,MD,B,17.2,31.6,34.9,22.1,64.0,26.4,16.5
L,FC,LO,B,18.1,44.1,32.4,53.7,45.2,47.9,16.4
L,FC,HI,A,19.1,3.5,33.8,31.2,60.4,55.9,16.3
L,FC,HI,A,27.7,31.2,41.6,58.0,76.0,22.0,16.3
L,FC,VH,A,17.6,14.4,92.3,31.1,36.0,16.7,16.3
M,FC,VH,A,52.4,32.0,82.2,32.3,28.6,54.1,16.3
L,FC,HI,A,14.0,46.4,68.3,32.3,63.1,15.2,16.3
L,CO,VH,A,18.4,10.1,49.7,48.7,21.9,25.5,16.2
XL,FC,HI,A,25.8,40.0,40.8,32.7,20.6,22.2,16.2
L,FC,HI,A,27.7,38.4,99.2,51.1,22.2,14.1,16.2
L,CO,VH,A,16.5,34.3,23.9,64.1,18.3,18.6,16.2
M,SP,HI,C,33.8,23.8,43.8,66.3,15.0,15.2,16.1
XL,CO,VH,A,35.0,20.6,86.8,37.8,25.2,39.1,16.1
M,FO,VH,A,48.9,30.9,53.6,53.5,14.7,18.2,16.1
M,CO,HI,A,58.5,10.4,92.0,41.9,87.1,88.6,16.1
L,CO,HI,A,56.3,33.1,23.7,77.7,81.5,96.3,15.9
L,CO,HI,A,11.0,26.9,48.6,20.0,52.4,71.2,15.8
L,FC,MD,A,46.5,33.6,46.1,47.5,75.8,13.1,15.8
L,FC,HI,A,19.3,26.8,29.0,38.1,30.2,39.4,15.7
L,FC,HI,A,54.8,6.8,33.4,65.6,64.9,52.0,15.7
XL,CO,VH,A,17.7,13.4,23.1,32.3,54.0,59.5,15.7
S,CO,VH,B,11.4,22.1,39.7,19.8,37.9,75.6,15.6
XL,FO,MD,A,16.6,11.8,41.2,63.8,53.7,26.0,15.6
M,FC,HI,A,41.0,26.9,59.9,68.0,15.5,15.5,15.5
M,CO,VH,A,49.2,40.9,33.7,19.5,71.9,15.8,15.4
M,CO,MD,A,15.9,6.0,30.4,44.1,100.0,18.7,15.4
L,FC,MD,A,17.0,42.6,26.1,24.3,76.4,40.7,15.3
L,FO,VH,A,18.9,3.9,71.5,42.6,28.3,52.3,15.3
M,SP,MD,A,47.6,17.8,43.2,66.4,33.0,31.5,15.3
L,CO,VH,A,35.6,24.7,25.0,19.0,40.1,21.9,15.2
L,CO,VH,A,44.4,35.3,34.6,17.0,60.7,48.1,15.2
L,CO,VH,A,16.4,27.0,37.3,23.3,53.6,18.4,15.2
XL,CO,HI,A,30.3,22.3,36.8,31.5,41.6,16.3,15.2
L,CO,HI,A,38.7,7.9,85.2,51.2,46.6,52.3,15.1
L,CO,HI,A,36.7,8.1,62.2,43.7,64.6,76.8,15.1
S,FO,HI,A,28.6,47.0,36.7,34.1,52.0,33.1,15.1
M,CO,VH,A,57.0,42.3,47.4,45.9,5.8,10.9,15.1
L,CO,VH,A,55.7,5.4,44.4,21.5,53.5,48.7,15.1
M,FO,MD,A,54.6,7.7,58.6,76.6,54.1,49.7,15.1
M,FO,VH,A,56.6,21.2,36.7,59.9,15.1,45.2,15.1
L,CO,HI,A,40.3,22.1,59.6,35.6,21.7,19.7,15.1
M,CO,HI,A,11.2,30.6,68.5,28.6,59.5,98.9,15.0
M,CO,HI,A,48.0,7.9,68.0,24.0,68.0,95.1,15.0
L,FC,HI,B,28.9,11.1,52.3,27.9,75.6,36.9,15.0
L,CO,HI,A,54.3,14.1,97.3,48.9,84.3,50.7,15.0
M,SP,VH,A,26.7,35.5,46.4,45.4,76.6,46.6,14.9
L,CO,HI,A,42.1,15.9,50.1,37.2,47.0,17.7,14.9
M,CO,VH,A,29.9,36.8,47.8,23.8,20.9,67.3,14.9
L,CO,VH,A,54.5,3.4,91.5,22.0,33.5,14.1,14.9
L,CO,HI,A,38.2,28.9,28.2,42.6,40.8,97.3,14.9
L,FC,MD,B,20.5,28.1,39.8,45.1,21.3,15.0,14.8
M,CO,VH,A,58.3,23.9,26.8,77.0,15.9,28.7,14.8
L,FO,VH,A,52.8,24.2,47.1,60.9,40.2,13.7,14.8
L,CO,HI,B,41.8,18.9,24.7,36.1,34.7,22.8,14.8
M,CO,HI,A,21.5,21.1,48.3,21.4,34.2,34.2,14.8
L,FO,VH,B,53.8,46.7,66.0,24.8,77.4,40.6,14.7
XL,FC,HI,A,22.4,18.0,31.7,58.0,61.9,45.3,14.7
XL,FC,MD,A,18.8,31.1,73.5,45.8,28.0,23.0,14.7
XL,FC,MD,A,17.9,24.6,28.8,57.2,60.6,17.1,14.7
M,FC,MD,B,7.4,19.5,31.4,29.1,47.9,52.3,14.7
L,CO,MD,A,54.7,24.3,32.9,18.4,66.1,58.3,14.7
M,FO,MD,B,56.1,19.7,45.5,67.1,62.0,44.1,14.6
M,FC,MD,B,56.2,26.8,78.0,38.1,58.6,20.4,14.6
XL,FC,HI,A,22.5,12.1,43.7,17.2,74.2,10.6,14.6
XL,FC,HI,A,18.8,46.1,24.1,46.3,62.8,43.1,14.6
L,FO,VH,A,53.6,23.3,50.0,21.2,24.3,33.7,14.6
L,FC,HI,A,47.4,24.6,33.8,44.2,42.8,21.2,14.5
XL,CO,VH,A,18.1,26.3,98.7,36.1,76.7,41.7,14.5
L,CO,HI,A,23.8,19.3,44.7,60.0,61.7,61.9,14.5
XL,FC,HI,A,58.3,42.5,48.1,25.7,16.1,54.9,14.4
XL,CO,VH,A,38.3,44.7,34.2,22.7,25.1,33.6,14.4
L,CO,HI,A,6.1,19.3,40.5,22.2,59.3,79.1,14.4
XL,FC,HI,A,21.6,33.0,89.4,20.1,49.2,35.2,14.4
L,CO,HI,A,16.6,18.2,26.7,30.3,18.1,28.4,14.3
L,CO,HI,A,11.1,36.2,87.5,35.4,31.2,68.6,14.3
L,CO,HI,A,33.2,34.3,66.5,21.4,71.5,20.7,14.3
XL,CO,HI,A,56.7,40.7,23.5,60.8,21.5,57.0,14.1
L,CO,VH,A,13.6,18.9,35.0,77.1,54.1,18.1,14.0
M,CO,MD,C,16.3,42.6,55.6,77.3,100.0,100.0,13.9
S,FO,HI,A,38.5,36.4,54.7,78.2,90.9,42.9,13.9
XL,CO,HI,A,43.0,19.1,52.1,64.0,7.0,31.8,13.9
XL,FC,HI,A,9.7,32.9,27.3,42.8,57.1,20.5,13.9
L,FO,VH,A,21.7,18.4,76.6,54.1,20.6,50.3,13.9
L,CO,HI,A,40.2,35.7,32.8,51.1,40.6,22.1,13.8
XL,CO,MD,A,26.5,36.1,50.6,79.0,90.1,30.0,13.8
L,CO,HI,B,47.0,24.4,35.7,67.1,38.5,23.1,13.7
L,FC,HI,B,42.8,46.0,35.5,79.0,51.4,13.3,13.7
XL,FC,HI,A,44.2,3.3,20.1,58.6,74.5,25.8,13.7
L,CO,MD,B,30.6,14.2,86.0,58.4,80.0,33.4,13.6
XL,FC,HI,A,44.6,13.7,23.8,69.8,56.6,55.9,13.6
M,FO,VH,A,18.7,32.2,62.2,17.8,75.8,44.7,13.6
L,CO,VH,A,22.0,37.4,26.3,22.1,9.6,15.7,13.5
L,CO,HI,A,11.9,12.5,20.2,42.8,34.3,33.6,13.5
XL,CO,HI,A,24.4,14.6,23.0,20.0,49.5,13.2,13.5
L,FO,HI,A,26.8,32.4,38.4,48.0,15.4,53.4,13.5
L,FC,HI,A,53.8,39.1,83.2,18.8,61.3,29.2,13.5
M,SP,HI,A,59.9,32.3,26.6,35.4,69.9,36.6,13.3
L,CO,HI,B,50.6,38.4,48.5,16.9,68.2,59.3,13.3
L,SP,LO,A,27.1,20.3,39.0,32.9,22.2,25.4,13.3
XL,FC,MD,A,49.2,25.4,23.4,45.6,46.8,40.2,13.3
L,CO,HI,A,59.7,30.7,31.5,25.2,15.3,36.8,13.2
M,CO,VH,B,10.4,46.5,42.8,20.1,74.1,57.5,13.2
L,CO,MD,B,41.1,44.0,95.5,43.0,15.3,50.8,13.2
XL,CO,VH,B,30.1,26.3,56.0,23.3,31.1,51.7,13.2
L,FO,VH,A,23.4,20.4,44.8,32.4,23.6,18.4,13.1
XL,FC,VH,A,5.4,31.3,40.7,36.2,14.5,18.0,13.1
L,CO,HI,A,46.3,37.0,20.7,27.6,19.3,67.0,13.1
XL,CO,VH,A,3.4,19.9,37.1,29.7,74.6,10.0,13.1
M,FO,VH,A,29.4,25.9,49.0,19.5,73.3,34.1,13.1
L,FO,HI,A,14.1,5.4,32.8,19.2,67.1,30.6,13.0
L,CO,MD,B,54.9,31.4,35.5,39.3,35.4,54.2,12.9
XL,FC,MD,A,38.9,21.8,59.2,57.3,65.0,30.2,12.9
L,CO,HI,B,51.8,35.4,40.7,78.2,23.7,43.8,12.9
M,CO,HI,A,24.4,27.8,45.0,67.6,41.7,92.5,12.8
M,FO,HI,A,38.1,26.0,27.1,56.4,18.1,50.3,12.8
L,FO,VH,C,33.5,26.7,95.7,57.7,11.5,15.8,12.7
XL,CO,VH,A,19.0,34.2,37.0,20.8,21.1,16.4,12.7
L,CO,HI,B,30.6,49.4,26.7,37.1,32.7,35.1,12.6
L,FC,HI,B,32.2,14.8,46.6,21.6,22.8,34.0,12.6
XL,CO,VH,A,22.5,46.2,98.4,42.2,48.8,20.6,12.5
L,CO,VH,A,49.8,35.1,45.4,21.0,15.8,16.1,12.5
XL,FC,HI,A,52.3,37.2,94.9,39.7,77.3,33.6,12.5
XL,FC,HI,A,17.0,18.6,87.7,26.8,71.2,20.4,12.5
XL,CO,HI,A,21.9,17.1,52.8,30.0,34.4,46.3,12.4
M,SP,LO,A,28.2,9.0,48.7,73.4,47.9,42.9,12.4
XL,FC,HI,A,33.7,7.0,75.3,39.6,34.7,11.2,12.4
XL,FO,HI,A,44.7,8.8,51.0,37.8,100.0,51.2,12.4
L,CO,HI,A,41.4,45.6,90.1,19.5,23.9,20.3,12.3
XL,FC,MD,A,8.2,37.7,52.6,64.9,56.4,35.0,12.2
S,FO,VH,A,21.0,43.4,29.0,16.6,8.5,42.6,12.2
M,FO,VH,A,32.3,4.1,69.0,25.3,15.0,41.6,12.2
L,CO,HI,A,22.4,8.5,35.6,24.2,7.0,28.0,12.2
L,FC,HI,B,48.3,17.6,31.1,71.6,66.7,21.1,12.1
L,CO,HI,A,13.1,46.8,97.3,44.7,40.4,37.0,12.1
M,CO,VH,B,37.1,3.8,31.4,73.7,59.6,51.2,12.0
XL,CO,HI,C,27.4,23.8,70.0,33.7,76.1,49.4,12.0
L,CO,HI,A,52.1,40.7,56.4,77.4,75.1,27.2,12.0
M,SP,HI,C,23.3,44.8,33.4,47.1,24.6,22.7,12.0
XL,FC,LO,A,26.0,21.2,30.8,18.6,5.3,22.0,12.0
M,CO,VH,A,29.1,48.9,37.6,20.1,13.2,32.9,12.0
L,FC,HI,A,26.5,37.8,37.5,38.1,30.7,26.9,11.9
XL,CO,HI,A,53.8,38.5,41.6,41.7,57.7,14.8,11.7
M,CO,MD,B,39.5,34.2,84.7,17.3,77.5,16.4,11.7
L,CO,HI,A,30.2,30.6,47.8,38.9,47.8,26.5,11.7
L,FO,HI,A,12.8,22.7,53.8,32.3,73.1,44.7,11.7
S,CO,HI,A,42.4,31.5,95.2,35.8,33.3,13.6,11.7
L,CO,HI,A,58.8,45.8,94.0,43.6,57.7,12.2,11.6
L,SP,LO,A,10.8,19.3,40.6,39.0,17.5,18.3,11.6
L,FC,LO,B,28.5,29.9,33.0,34.5,17.9,15.0,11.6
M,FC,HI,B,27.6,4.1,91.8,43.3,27.1,58.5,11.5
L,FO,VH,A,44.4,8.0,70.5,21.3,67.2,26.8,11.5
XL,FC,HI,A,16.9,29.0,81.2,20.4,47.2,14.0,11.4
M,CO,VH,A,37.5,26.7,59.7,23.9,16.2,51.6,11.4
M,FO,HI,A,19.2,28.3,67.1,48.0,17.0,78.5,11.3
XL,CO,HI,B,32.4,22.3,78.9,28.9,34.6,33.2,11.3
XL,CO,HI,A,18.4,23.0,54.3,32.1,21.0,23.0,11.2
M,CO,VH,A,15.1,29.2,27.5,21.6,15.2,43.0,11.2
XL,CO,HI,A,30.9,48.4,34.8,28.4,11.1,54.7,11.2
M,CO,HI,A,58.3,18.2,25.8,57.5,32.2,30.9,11.1
M,FO,VH,A,9.0,10.5,51.1,69.1,73.8,49.9,11.1
L,SP,MD,A,50.9,7.7,45.8,66.3,31.3,14.6,11.1
L,FO,VH,A,49.2,38.0,86.0,21.9,19.8,52.4,11.1
M,FC,VH,A,39.9,30.6,35.3,18.9,8.7,18.0,11.1
L,CO,VH,A,35.7,12.1,72.4,35.2,49.7,50.3,11.1
L,CO,HI,A,50.0,17.7,76.7,46.1,35.3,17.0,10.9
L,CO,HI,A,11.5,18.3,35.2,54.2,48.3,54.2,10.9
L,CO,HI,A,48.6,22.7,46.8,34.8,59.9,20.7,10.9
M,CO,HI,A,38.9,7.9,61.2,30.7,31.7,59.6,10.9
M,FO,HI,A,45.9,24.6,21.8,74.1,64.1,17.5,10.8
M,FO,VH,A,31.3,6.4,39.0,53.6,20.9,21.5,10.8
M,FO,MD,A,58.8,20.5,35.4,57.9,43.0,27.7,10.8
M,FO,VH,A,19.0,29.1,98.6,18.9,47.6,38.6,10.8
M,CO,HI,A,37.5,10.1,26.1,38.2,53.1,67.6,10.8
L,FC,HI,B,46.7,49.9,76.5,42.0,5.1,15.4,10.7
L,FC,MD,B,37.9,17.4,99.1,78.2,19.1,30.1,10.7
XL,FC,MD,A,16.6,3.9,61.4,25.6,58.8,59.1,10.7
XL,FC,MD,A,18.7,21.6,91.7,52.8,15.6,26.1,10.7
L,FO,LO,B,17.8,51.1,26.9,46.7,39.3,27.0,10.6
L,FC,HI,A,45.1,36.2,25.6,42.1,54.9,43.7,10.6
XL,FC,HI,A,11.6,10.3,24.4,38.3,62.0,25.0,10.6
L,FC,MD,B,13.8,35.8,54.4,43.7,34.9,52.1,10.6
XL,FC,MD,A,35.9,44.8,55.3,65.8,71.8,27.1,10.6
M,FC,LO,A,28.8,40.9,23.4,71.9,15.8,25.1,10.6
L,FC,HI,A,15.8,6.7,36.4,73.0,54.4,59.5,10.6
L,CO,VH,A,26.8,9.2,80.2,16.9,72.8,47.8,10.5
XL,FC,HI,A,43.1,23.8,39.8,75.5,38.3,42.4,10.5
M,CO,HI,A,24.1,32.2,74.9,79.0,25.1,15.5,10.4
L,FC,MD,A,46.0,34.8,35.0,56.6,66.7,50.6,10.3
L,FC,MD,B,33.7,47.5,69.8,77.6,34.3,16.2,10.3
M,CO,HI,B,36.9,25.8,78.5,75.3,19.1,37.5,10.3
L,FC,MD,A,19.0,35.4,69.6,29.6,48.2,45.6,10.2
L,FC,MD,B,28.8,30.1,83.0,52.4,18.2,13.3,10.2
L,CO,MD,B,19.2,62.5,91.5,20.2,25.2,46.9,10.1
L,FC,MD,A,33.2,24.8,63.2,54.0,32.1,31.3,10.1
S,CO,LO,B,13.9,2.9,26.0,16.9,24.9,51.5,10.0
M,CO,LO,B,9.9,19.1,62.7,74.0,15.4,54.9,10.0
XL,CO,HI,A,22.3,23.0,36.8,65.4,70.5,49.8,10.0
XL,FC,MD,A,25.1,33.2,66.4,78.8,78.4,16.4,10.0
L,CO,HI,A,46.5,33.4,37.7,64.1,67.5,40.5,10.0
XL,FC,MD,A,18.4,33.0,69.8,72.2,9.1,36.8,10.0
XL,FC,MD,A,34.6,30.7,28.8,76.3,31.0,17.8,9.8
XL,FC,MD,A,18.0,22.4,83.8,74.8,57.2,44.9,9.8
M,FO,VH,B,26.4,43.6,94.3,27.7,40.3,15.8,9.8
XL,CO,HI,A,33.0,22.3,46.6,26.2,40.6,16.9,9.8
M,FO,VH,A,48.7,21.6,94.3,72.5,64.6,43.1,9.7
L,FO,HI,B,7.0,33.0,24.5,42.7,20.7,38.8,9.7
L,CO,LO,A,48.6,28.6,82.1,52.1,5.1,21.4,9.7
XL,FO,MD,A,25.6,28.9,35.5,30.5,39.1,11.5,9.6
L,CO,HI,A,45.0,49.5,41.1,29.2,28.7,37.5,9.6
L,CO,VH,A,31.7,42.5,25.5,22.8,29.8,28.9,9.6
XL,FC,HI,A,4.8,33.9,28.2,53.9,9.9,46.2,9.6
L,FC,HI,A,29.6,11.0,44.4,69.1,39.8,25.1,9.5
L,FC,HI,A,15.1,48.8,41.1,50.0,71.7,58.6,9.5
L,FC,HI,A,36.5,8.5,63.8,72.3,9.5,29.9,9.5
