Classification_Size,Classification_Focus,Research_Intensity,Status,Academic_Reputation_Score,Employer_Reputation_Score,Faculty_Student_Score,Citations_Per_Faculty_Score,International_Faculty_Score,International_Student_Score,Overall_Score
L,CO,VH,A,30.8,39.0,35.4,73.3,95.9,100.0,47.9
XL,FC,HI,A,82.7,85.1,13.0,12.8,9.7,9.0,47.8
L,FC,VH,A,35.2,50.5,41.7,50.9,98.8,94.5,47.4
XL,CO,VH,B,69.0,89.0,29.9,7.6,28.3,34.2,47.2
L,FC,VH,A,38.6,14.7,55.5,73.6,44.7,40.4,47.1
L,FC,VH,A,49.1,45.5,8.3,96.0,29.7,7.9,47
L,FC,VH,A,46.2,67.0,17.5,44.4,91.7,95.3,47
M,CO,VH,A,33.3,38.4,49.5,76.8,35.2,53.1,46.9
L,FC,VH,A,55.0,33.1,36.2,46.9,35.4,61.1,46.9
XL,CO,VH,A,51.4,34.2,11.2,73.0,51.0,64.0,46.7
L,FC,VH,A,35.0,38.0,93.0,22.6,65.3,45.7,46.6
L,FC,VH,A,39.2,69.3,10.8,72.1,99.1,47.6,46.6
L,FC,VH,B,35.8,25.3,100.0,33.4,21.7,36.0,46.5
M,FC,VH,B,25.4,12.3,97.8,54.9,25.4,61.4,46.4
M,CO,VH,A,47.1,48.5,14.9,56.8,99.0,64.7,46.3
XL,FC,VH,A,78.2,49.5,4.0,40.1,6.0,12.7,46.1
L,CO,VH,B,36.3,34.1,42.3,72.0,79.3,20.5,45.9
XL,FC,VH,A,42.8,56.9,35.0,43.5,82.5,61.3,45.8
L,FC,VH,A,50.5,43.5,35.8,55.8,38.2,14.5,45.6
L,CO,VH,A,54.0,41.6,12.8,45.8,100.0,58.7,45.5
M,SP,VH,A,31.6,72.1,82.5,3.8,62.2,98.5,45.2
XL,FC,VH,A,35.9,37.7,89.3,13.2,98.3,17.3,44.5
L,FC,VH,A,49.9,42.0,40.2,49.3,16.1,26.7,44.3
XL,FC,VH,A,56.6,44.0,51.7,21.0,23.0,26.6,44.2
L,FC,VH,A,43.9,70.5,9.6,61.9,73.8,25.6,44
L,FC,VH,A,40.6,40.0,20.9,79.4,63.1,9.2,44
L,FC,VH,A,40.0,37.0,28.4,49.1,99.5,74.6,44
L,FC,HI,B,41.8,53.2,62.5,27.5,21.1,52.1,43.8
L,FC,HI,A,36.6,20.9,31.7,54.7,94.1,97.9,43.7
